size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
20000,chaining,insert,2,44,0.000227891,0,"load_factor=0.7000;collisions=4564;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,open_addressing,insert,2,44,0.000411459,0,"load_factor=0.7000;total_probes=42825;max_cluster=95","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,chaining,insert,3,45,0.000231318,0,"load_factor=0.7000;collisions=4427;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,open_addressing,insert,3,45,0.000390396,0,"load_factor=0.7000;total_probes=43351;max_cluster=82","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,chaining,insert,4,46,0.000233647,0,"load_factor=0.7000;collisions=4449;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
20000,open_addressing,insert,4,46,0.000398543,0,"load_factor=0.7000;total_probes=43183;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,chaining,insert,0,42,0.000440669,0,"load_factor=0.7000;collisions=6663;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,open_addressing,insert,0,42,0.000596968,0,"load_factor=0.7000;total_probes=64425;max_cluster=94","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,chaining,insert,1,43,0.000358641,0,"load_factor=0.7000;collisions=6608;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,open_addressing,insert,1,43,0.000597552,0,"load_factor=0.7000;total_probes=63850;max_cluster=103","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,chaining,insert,2,44,0.000363866,0,"load_factor=0.7000;collisions=6717;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
